role_id,role_name,category,description,required_skills,importance_weights,avg_salary,growth_rate
1,Full Stack Developer,Software Development,"Develops both frontend and backend applications","Python,JavaScript,React,Node.js,SQL,Git,REST APIs,HTML,CSS,Docker","0.9,0.9,0.8,0.8,0.7,0.6,0.7,0.5,0.5,0.6",95000,high
2,Data Scientist,Data & AI,"Analyzes data and builds predictive models","Python,Machine Learning,Statistics,SQL,Pandas,NumPy,Scikit-learn,Data Visualization,Deep Learning,TensorFlow","0.9,0.9,0.8,0.7,0.8,0.7,0.8,0.7,0.6,0.7",110000,very_high
3,Frontend Developer,Software Development,"Creates user interfaces and experiences","JavaScript,React,HTML,CSS,TypeScript,UI/UX Design,Responsive Design,Git,Webpack,Redux","0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6",85000,high
4,Backend Developer,Software Development,"Builds server-side applications and APIs","Python,Java,Node.js,SQL,MongoDB,REST APIs,Microservices,Docker,Kubernetes,Redis","0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.5",90000,high
5,DevOps Engineer,Infrastructure,"Manages deployment pipelines and infrastructure","Docker,Kubernetes,CI/CD,AWS,Linux,Python,Terraform,Jenkins,Git,Monitoring","0.9,0.8,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6",105000,very_high
6,Machine Learning Engineer,Data & AI,"Builds and deploys ML models at scale","Python,Machine Learning,TensorFlow,PyTorch,MLOps,Docker,Kubernetes,SQL,Cloud Platforms,Deep Learning","0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7",115000,very_high
7,Mobile App Developer,Software Development,"Develops mobile applications","React Native,JavaScript,Flutter,Dart,iOS,Android,Mobile UI/UX,REST APIs,Git,Firebase","0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6",88000,high
8,Cloud Architect,Infrastructure,"Designs cloud infrastructure solutions","AWS,Azure,GCP,Cloud Architecture,Networking,Security,Terraform,Docker,Kubernetes,Microservices","0.9,0.8,0.8,0.9,0.8,0.8,0.7,0.7,0.7,0.7",130000,very_high
9,Product Manager,Product & Strategy,"Manages product development and strategy","Product Strategy,Agile,User Research,Data Analysis,Communication,Wireframing,SQL,Project Management,Market Analysis,Stakeholder Management","0.9,0.8,0.8,0.7,0.9,0.6,0.5,0.8,0.7,0.8",105000,high
10,UI/UX Designer,Design,"Creates user-centered design solutions","Figma,Adobe XD,UI Design,UX Research,Prototyping,User Testing,Wireframing,Design Systems,HTML,CSS","0.9,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.5,0.5",80000,medium
11,Data Analyst,Data & AI,"Analyzes data to drive business decisions","SQL,Excel,Python,Data Visualization,Tableau,Power BI,Statistics,Pandas,Business Intelligence,ETL","0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6",75000,high
12,Cybersecurity Analyst,Security,"Protects systems from security threats","Network Security,Ethical Hacking,Firewalls,Penetration Testing,Linux,Python,SIEM,Incident Response,Cryptography,Risk Assessment","0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.7,0.7",95000,very_high
13,QA Engineer,Quality Assurance,"Ensures software quality through testing","Test Automation,Selenium,Python,Java,CI/CD,Testing Frameworks,Manual Testing,Bug Tracking,API Testing,Performance Testing","0.9,0.8,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.6",80000,medium
14,Business Analyst,Business & Analytics,"Bridges business needs and technical solutions","Business Analysis,SQL,Requirements Gathering,Data Analysis,Process Modeling,Stakeholder Management,Excel,Communication,Agile,Documentation","0.9,0.8,0.9,0.7,0.8,0.8,0.7,0.9,0.7,0.7",85000,medium
15,AI Research Scientist,Data & AI,"Conducts research in artificial intelligence","Deep Learning,Python,TensorFlow,PyTorch,Research Methodology,Mathematics,NLP,Computer Vision,Statistics,Publications","0.9,0.9,0.9,0.8,0.9,0.9,0.7,0.7,0.8,0.7",140000,very_high
